country,continent,year,population,life_expectancy,gdp_per_capita
Cameroon,Africa,2002,15929988,49.856,1934.0
Cameroon,Africa,2007,17696293,50.43,2042.1
Canada,Americas,1952,14785584,68.75,11367.2
Canada,Americas,1957,17010154,69.96,12490.0
Canada,Americas,1962,18985849,71.3,13462.5
Canada,Americas,1967,20819767,72.13,16076.6
Canada,Americas,1972,22284500,72.88,18970.6
Canada,Americas,1977,23796400,74.21,22090.9
Canada,Americas,1982,25201900,75.76,22898.8
Canada,Americas,1987,26549700,76.86,26626.5
Canada,Americas,1992,28523502,77.95,26342.9
Canada,Americas,1997,30305843,78.61,28954.9
Canada,Americas,2002,31902268,79.77,33329.0
Canada,Americas,2007,33390141,80.653,36319.2
Central African Republic,Africa,1952,1291695,35.463,1071.3
Central African Republic,Africa,1957,1392284,37.464,1190.8
Central African Republic,Africa,1962,1523478,39.475,1193.1
Central African Republic,Africa,1967,1733638,41.478,1136.1
Central African Republic,Africa,1972,1927260,43.457,1070.0
Central African Republic,Africa,1977,2167533,46.775,1109.4
Central African Republic,Africa,1982,2476971,48.295,956.8
Central African Republic,Africa,1987,2840009,50.485,844.9
Central African Republic,Africa,1992,3265124,49.396,747.9
Central African Republic,Africa,1997,3696513,46.066,740.5
Central African Republic,Africa,2002,4048013,43.308,738.7
Central African Republic,Africa,2007,4369038,44.741,706.0
Chad,Africa,1952,2682462,38.092,1178.7
Chad,Africa,1957,2894855,39.881,1308.5
Chad,Africa,1962,3150417,41.716,1389.8
Chad,Africa,1967,3495967,43.601,1196.8
Chad,Africa,1972,3899068,45.569,1104.1
Chad,Africa,1977,4388260,47.383,1134.0
Chad,Africa,1982,4875118,49.517,797.9
Chad,Africa,1987,5498955,51.051,952.4
Chad,Africa,1992,6429417,51.724,1058.1
Chad,Africa,1997,7562011,51.573,1005.0
Chad,Africa,2002,8835739,50.525,1156.2
Chad,Africa,2007,10238807,50.651,1704.1
Chile,Americas,1952,6377619,54.745,3940.0
Chile,Americas,1957,7048426,56.074,4315.6
Chile,Americas,1962,7961258,57.924,4519.1
Chile,Americas,1967,8858908,60.523,5106.7
Chile,Americas,1972,9717524,63.441,5494.0
Chile,Americas,1977,10599793,67.052,4756.8
Chile,Americas,1982,11487112,70.565,5095.7
Chile,Americas,1987,12463354,72.492,5547.1
Chile,Americas,1992,13572994,74.126,7596.1
Chile,Americas,1997,14599929,75.816,10118.1
Chile,Americas,2002,15497046,77.86,10778.8
Chile,Americas,2007,16284741,78.553,13171.6
China,Asia,1952,556263528,44.0,400.4
China,Asia,1957,637408000,50.549,576.0
China,Asia,1962,665770000,44.501,487.7
China,Asia,1967,754550000,58.381,612.7
China,Asia,1972,862030000,63.119,676.9
China,Asia,1977,943455000,63.967,741.2
China,Asia,1982,1000281000,65.525,962.4
China,Asia,1987,1084035000,67.274,1378.9
China,Asia,1992,1164970000,68.69,1655.8
China,Asia,1997,1230075000,70.426,2289.2
China,Asia,2002,1280400000,72.028,3119.3
China,Asia,2007,1318683096,72.961,4959.1
Colombia,Americas,1952,12350771,50.643,2144.1
Colombia,Americas,1957,14485993,55.118,2323.8
Colombia,Americas,1962,17009885,57.863,2492.4
Colombia,Americas,1967,19764027,59.963,2678.7
Colombia,Americas,1972,22542890,61.623,3264.7
Colombia,Americas,1977,25094412,63.837,3815.8
Colombia,Americas,1982,27764644,66.653,4397.6
Colombia,Americas,1987,30964245,67.768,4903.2
Colombia,Americas,1992,34202721,68.421,5444.6
Colombia,Americas,1997,37657830,70.313,6117.4
Colombia,Americas,2002,41008227,71.682,5755.3
Colombia,Americas,2007,44227550,72.889,7006.6
Comoros,Africa,1952,153936,40.715,1103.0
Comoros,Africa,1957,170928,42.46,1211.1
Comoros,Africa,1962,191689,44.467,1406.6
Comoros,Africa,1967,217378,46.472,1876.0
Comoros,Africa,1972,250027,48.944,1937.6
Comoros,Africa,1977,304739,50.939,1172.6
Comoros,Africa,1982,348643,52.933,1267.1
Comoros,Africa,1987,395114,54.926,1316.0
Comoros,Africa,1992,454429,57.939,1246.9
Comoros,Africa,1997,527982,60.66,1173.6
Comoros,Africa,2002,614382,62.974,1075.8
Comoros,Africa,2007,710960,65.152,986.1
"Congo, Dem. Rep.",Africa,1952,14100005,39.143,780.5
"Congo, Dem. Rep.",Africa,1957,15577932,40.652,905.9
"Congo, Dem. Rep.",Africa,1962,17486434,42.122,896.3
"Congo, Dem. Rep.",Africa,1967,19941073,44.056,861.6
"Congo, Dem. Rep.",Africa,1972,23007669,45.989,904.9
"Congo, Dem. Rep.",Africa,1977,26480870,47.804,795.8
"Congo, Dem. Rep.",Africa,1982,30646495,47.784,673.7
"Congo, Dem. Rep.",Africa,1987,35481645,47.412,672.8
"Congo, Dem. Rep.",Africa,1992,41672143,45.548,457.7
"Congo, Dem. Rep.",Africa,1997,47798986,42.587,312.2
"Congo, Dem. Rep.",Africa,2002,55379852,44.966,241.2
"Congo, Dem. Rep.",Africa,2007,64606759,46.462,277.6
"Congo, Rep.",Africa,1952,854885,42.111,2125.6
"Congo, Rep.",Africa,1957,940458,45.053,2315.1
"Congo, Rep.",Africa,1962,1047924,48.435,2464.8
"Congo, Rep.",Africa,1967,1179760,52.04,2677.9
"Congo, Rep.",Africa,1972,1340458,54.907,3213.2
"Congo, Rep.",Africa,1977,1536769,55.625,3259.2
"Congo, Rep.",Africa,1982,1774735,56.695,4879.5
"Congo, Rep.",Africa,1987,2064095,57.47,4201.2
"Congo, Rep.",Africa,1992,2409073,56.433,4016.2
"Congo, Rep.",Africa,1997,2800947,52.962,3484.2
"Congo, Rep.",Africa,2002,3328795,52.97,3484.1
"Congo, Rep.",Africa,2007,3800610,55.322,3632.6
Costa Rica,Americas,1952,926317,57.206,2627.0
Costa Rica,Americas,1957,1112300,60.026,2990.0
Costa Rica,Americas,1962,1345187,62.842,3460.9
Costa Rica,Americas,1967,1588717,65.424,4161.7
Costa Rica,Americas,1972,1834796,67.849,5118.1
Costa Rica,Americas,1977,2108457,70.75,5926.9
Costa Rica,Americas,1982,2424367,73.45,5262.7
Costa Rica,Americas,1987,2799811,74.752,5629.9
Costa Rica,Americas,1992,3173216,75.713,6160.4
Costa Rica,Americas,1997,3518107,77.26,6677.0
Costa Rica,Americas,2002,3834934,78.123,7723.4
Costa Rica,Americas,2007,4133884,78.782,9645.1
Cote d'Ivoire,Africa,1952,2977019,40.477,1388.6
Cote d'Ivoire,Africa,1957,3300000,42.469,1500.9
Cote d'Ivoire,Africa,1962,3832408,44.93,1728.9
Cote d'Ivoire,Africa,1967,4744870,47.35,2052.1
Cote d'Ivoire,Africa,1972,6071696,49.801,2378.2
Cote d'Ivoire,Africa,1977,7459574,52.374,2517.7
Cote d'Ivoire,Africa,1982,9025951,53.983,2602.7
Cote d'Ivoire,Africa,1987,10761098,54.655,2157.0
Cote d'Ivoire,Africa,1992,12772596,52.044,1648.1
Cote d'Ivoire,Africa,1997,14625967,47.991,1786.3
Cote d'Ivoire,Africa,2002,16252726,46.832,1648.8
Cote d'Ivoire,Africa,2007,18013409,48.328,1544.8
Croatia,Europe,1952,3882229,61.21,3119.2
Croatia,Europe,1957,3991242,64.77,4338.2
Croatia,Europe,1962,4076557,67.13,5477.9
Croatia,Europe,1967,4174366,68.5,6960.3
Croatia,Europe,1972,4225310,69.61,9164.1
Croatia,Europe,1977,4318673,70.64,11305.4
Croatia,Europe,1982,4413368,70.46,13221.8
Croatia,Europe,1987,4484310,71.52,13822.6
Croatia,Europe,1992,4494013,72.527,8447.8
Croatia,Europe,1997,4444595,73.68,9875.6
Croatia,Europe,2002,4481020,74.876,11628.4
Croatia,Europe,2007,4493312,75.748,14619.2
Cuba,Americas,1952,6007797,59.421,5586.5
Cuba,Americas,1957,6640752,62.325,6092.2
Cuba,Americas,1962,7254373,65.246,5180.8
Cuba,Americas,1967,8139332,68.29,5690.3
Cuba,Americas,1972,8831348,70.723,5305.4
Cuba,Americas,1977,9537988,72.649,6380.5
Cuba,Americas,1982,9789224,73.717,7316.9
Cuba,Americas,1987,10239839,74.174,7532.9
Cuba,Americas,1992,10723260,74.414,5592.8
Cuba,Americas,1997,10983007,76.151,5432.0
Cuba,Americas,2002,11226999,77.158,6340.6
Cuba,Americas,2007,11416987,78.273,8948.1
Czech Republic,Europe,1952,9125183,66.87,6876.1
Czech Republic,Europe,1957,9513758,69.03,8256.3
Czech Republic,Europe,1962,9620282,69.9,10136.9
Czech Republic,Europe,1967,9835109,70.38,11399.4
Czech Republic,Europe,1972,9862158,70.29,13108.5
Czech Republic,Europe,1977,10161915,70.71,14800.2
Czech Republic,Europe,1982,10303704,70.96,15377.2
Czech Republic,Europe,1987,10311597,71.58,16310.4
Czech Republic,Europe,1992,10315702,72.4,14297.0
Czech Republic,Europe,1997,10300707,74.01,16048.5
Czech Republic,Europe,2002,10256295,75.51,17596.2
Czech Republic,Europe,2007,10228744,76.486,22833.3
Denmark,Europe,1952,4334000,70.78,9692.4
Denmark,Europe,1957,4487831,71.81,11099.7
Denmark,Europe,1962,4646899,72.35,13583.3
Denmark,Europe,1967,4838800,72.96,15937.2
Denmark,Europe,1972,4991596,73.47,18866.2
Denmark,Europe,1977,5088419,74.69,20422.9
Denmark,Europe,1982,5117810,74.63,21688.0
Denmark,Europe,1987,5127024,74.8,25116.2
Denmark,Europe,1992,5171393,75.33,26406.7
Denmark,Europe,1997,5283663,76.11,29804.3
Denmark,Europe,2002,5374693,77.18,32166.5
Denmark,Europe,2007,5468120,78.332,35278.4
Djibouti,Africa,1952,63149,34.812,2669.5
Djibouti,Africa,1957,71851,37.328,2865.0
Djibouti,Africa,1962,89898,39.693,3021.0
Djibouti,Africa,1967,127617,42.074,3020.1
Djibouti,Africa,1972,178848,44.366,3694.2
Djibouti,Africa,1977,228694,46.519,3081.8
Djibouti,Africa,1982,305991,48.812,2879.5
Djibouti,Africa,1987,311025,50.04,2880.1
Djibouti,Africa,1992,384156,51.604,2377.2
Djibouti,Africa,1997,417908,53.157,1895.0
Djibouti,Africa,2002,447416,53.373,1908.3
Djibouti,Africa,2007,496374,54.791,2082.5
Dominican Republic,Americas,1952,2491346,45.928,1397.7
Dominican Republic,Americas,1957,2923186,49.828,1544.4
Dominican Republic,Americas,1962,3453434,53.459,1662.1
Dominican Republic,Americas,1967,4049146,56.751,1653.7
Dominican Republic,Americas,1972,4671329,59.631,2189.9
Dominican Republic,Americas,1977,5302800,61.788,2682.0
Dominican Republic,Americas,1982,5968349,63.727,2861.1
Dominican Republic,Americas,1987,6655297,66.046,2899.8
Dominican Republic,Americas,1992,7351181,68.457,3044.2
Dominican Republic,Americas,1997,7992357,69.957,3614.1
Dominican Republic,Americas,2002,8650322,70.847,4563.8
Dominican Republic,Americas,2007,9319622,72.235,6025.4
Ecuador,Americas,1952,3548753,48.357,3522.1
Ecuador,Americas,1957,4058385,51.356,3780.5
Ecuador,Americas,1962,4681707,54.64,4086.1
Ecuador,Americas,1967,5432424,56.678,4579.1
Ecuador,Americas,1972,6298651,58.796,5281.0
Ecuador,Americas,1977,7278866,61.31,6679.6
Ecuador,Americas,1982,8365850,64.342,7213.8
Ecuador,Americas,1987,9545158,67.231,6481.8
Ecuador,Americas,1992,10748394,69.613,7103.7
Ecuador,Americas,1997,11911819,72.312,7429.5
Ecuador,Americas,2002,12921234,74.173,5773.0
Ecuador,Americas,2007,13755680,74.994,6873.3
Egypt,Africa,1952,22223309,41.893,1418.8
Egypt,Africa,1957,25009741,44.444,1458.9
Egypt,Africa,1962,28173309,46.992,1693.3
Egypt,Africa,1967,31681188,49.293,1814.9
Egypt,Africa,1972,34807417,51.137,2024.0
Egypt,Africa,1977,38783863,53.319,2785.5
Egypt,Africa,1982,45681811,56.006,3503.7
Egypt,Africa,1987,52799062,59.797,3885.5
Egypt,Africa,1992,59402198,63.674,3794.8
Egypt,Africa,1997,66134291,67.217,4173.2
Egypt,Africa,2002,73312559,69.806,4754.6
Egypt,Africa,2007,80264543,71.338,5581.2
El Salvador,Americas,1952,2042865,45.262,3048.3
El Salvador,Americas,1957,2355805,48.57,3421.5
El Salvador,Americas,1962,2747687,52.307,3776.8
El Salvador,Americas,1967,3232927,55.855,4358.6
El Salvador,Americas,1972,3790903,58.207,4520.2
El Salvador,Americas,1977,4282586,56.696,5138.9
El Salvador,Americas,1982,4474873,56.604,4098.3
El Salvador,Americas,1987,4842194,63.154,4140.4
El Salvador,Americas,1992,5274649,66.798,4444.2
El Salvador,Americas,1997,5783439,69.535,5154.8
El Salvador,Americas,2002,6353681,70.734,5351.6
El Salvador,Americas,2007,6939688,71.878,5728.4
Equatorial Guinea,Africa,1952,216964,34.482,375.6
Equatorial Guinea,Africa,1957,232922,35.983,426.1
Equatorial Guinea,Africa,1962,249220,37.485,582.8
Equatorial Guinea,Africa,1967,259864,38.987,915.6
Equatorial Guinea,Africa,1972,277603,40.516,672.4
Equatorial Guinea,Africa,1977,192675,42.024,958.6
Equatorial Guinea,Africa,1982,285483,43.662,927.8
Equatorial Guinea,Africa,1987,341244,45.664,966.9
Equatorial Guinea,Africa,1992,387838,47.545,1132.1
Equatorial Guinea,Africa,1997,439971,48.245,2814.5
Equatorial Guinea,Africa,2002,495627,49.348,7703.5
Equatorial Guinea,Africa,2007,551201,51.579,12154.1
Eritrea,Africa,1952,1438760,35.928,328.9
Eritrea,Africa,1957,1542611,38.047,344.2
Eritrea,Africa,1962,1666618,40.158,381.0
Eritrea,Africa,1967,1820319,42.189,468.8
Eritrea,Africa,1972,2260187,44.142,514.3
Eritrea,Africa,1977,2512642,44.535,505.8
Eritrea,Africa,1982,2637297,43.89,524.9
Eritrea,Africa,1987,2915959,46.453,521.1
Eritrea,Africa,1992,3668440,49.991,582.9
Eritrea,Africa,1997,4058319,53.378,913.5
Eritrea,Africa,2002,4414865,55.24,765.4
Eritrea,Africa,2007,4906585,58.04,641.4
Ethiopia,Africa,1952,20860941,34.078,362.1
Ethiopia,Africa,1957,22815614,36.667,378.9
Ethiopia,Africa,1962,25145372,40.059,419.5
Ethiopia,Africa,1967,27860297,42.115,516.1
Ethiopia,Africa,1972,30770372,43.515,566.2
Ethiopia,Africa,1977,34617799,44.51,556.8
Ethiopia,Africa,1982,38111756,44.916,577.9
Ethiopia,Africa,1987,42999530,46.684,573.7
Ethiopia,Africa,1992,52088559,48.091,421.4
Ethiopia,Africa,1997,59861301,49.402,515.9
Ethiopia,Africa,2002,67946797,50.725,530.1
Ethiopia,Africa,2007,76511887,52.947,690.8
Finland,Europe,1952,4090500,66.55,6424.5
Finland,Europe,1957,4324000,67.49,7545.4
Finland,Europe,1962,4491443,68.75,9371.8
Finland,Europe,1967,4605744,69.83,10921.6
Finland,Europe,1972,4639657,70.87,14358.9
Finland,Europe,1977,4738902,72.52,15605.4
Finland,Europe,1982,4826933,74.55,18533.2
Finland,Europe,1987,4931729,74.83,21141.0
Finland,Europe,1992,5041039,75.7,20647.2
Finland,Europe,1997,5134406,77.13,23724.0
Finland,Europe,2002,5193039,78.37,28204.6
Finland,Europe,2007,5238460,79.313,33207.1
France,Europe,1952,42459667,67.41,7029.8
France,Europe,1957,44310863,68.93,8662.8
France,Europe,1962,47124000,70.51,10560.5
France,Europe,1967,49569000,71.55,12999.9
France,Europe,1972,51732000,72.38,16107.2
France,Europe,1977,53165019,73.83,18292.6
France,Europe,1982,54433565,74.89,20293.9
France,Europe,1987,55630100,76.34,22066.4
France,Europe,1992,57374179,77.46,24703.8
France,Europe,1997,58623428,78.64,25889.8
France,Europe,2002,59925035,79.59,28926.0
France,Europe,2007,61083916,80.657,30470.0
Gabon,Africa,1952,420702,37.003,4293.5
Gabon,Africa,1957,434904,38.999,4976.2
